Company_Name,Company_License,Shipment_ID,Origin,Destination,Planned_Route,Actual_Route,Planned_Timestamp,Actual_Timestamp,Delay_Hours,Delivered_Invoice_ID,Generated_Invoice_ID,Expected_Warehouse,Actual_Warehouse,Customer_Complaint,Route_Deviation,Invoice_Mismatch_Flag,Warehouse_Mismatch_Flag,Complaint_Count,True_Label
Allcargo,LIC-001010,a535945b-ed73-4391-9a22-133a41f33c4f,Mumbai,Pune,Mumbai -> Pune via NH24,Mumbai -> Pune via NH24,2020-12-24 03:27:36,2020-12-25 03:27:36,24.0,GEN-f33c4f,GEN-f33c4f,Pune_WH,Pune_WH,No Complaint,0,0,0,2,authorized
Allcargo,LIC-001010,3e530074-8950-47f8-9a9a-d4704d073eb6,Ahmedabad,Kanpur,Ahmedabad -> Kanpur via NH24,Ahmedabad -> Kanpur via NH24,2019-12-09 03:41:40,2019-12-10 03:41:40,24.0,GEN-073eb6,GEN-073eb6,Kanpur_WH,Kanpur_WH,No Complaint,0,0,0,1,authorized
Allcargo,LIC-001010,96b59369-ff0c-494d-a64a-a5ed8a9db5a1,Visakhapatnam,Ahmedabad,Visakhapatnam -> Ahmedabad via NH22,Visakhapatnam -> Ahmedabad via NH22,2018-01-16 02:54:18,2018-01-17 02:54:18,24.0,GEN-9db5a1,GEN-9db5a1,Ahmedabad_WH,Ahmedabad_WH,No Complaint,0,0,0,0,authorized
Allcargo,LIC-001010,ab912ace-18e4-42fe-af59-70551f2c3934,Pune,Bengaluru,Pune -> Bengaluru via NH3,Pune -> Bengaluru via NH3,2019-03-28 12:32:12,2019-03-29 12:32:12,24.0,GEN-2c3934,GEN-2c3934,Bengaluru_WH,Bengaluru_WH,No Complaint,0,0,0,3,authorized
Allcargo,LIC-001010,04a35801-e85d-4754-9441-3211ac3848dd,Kolkata,Guwahati,Kolkata -> Guwahati via NH43,Kolkata -> Guwahati via NH43,2019-06-29 22:03:54,2019-06-30 22:03:54,24.0,GEN-3848dd,GEN-3848dd,Guwahati_WH,Guwahati_WH,No Complaint,0,0,0,0,authorized
Allcargo,LIC-001010,d9e578df-84a9-4e2d-bfcf-76313fb29220,Vijayawada,Coimbatore,Vijayawada -> Coimbatore via NH43,Vijayawada -> Coimbatore via NH43,2020-10-28 09:21:58,2020-10-29 09:21:58,24.0,GEN-b29220,GEN-b29220,Coimbatore_WH,Coimbatore_WH,No Complaint,0,0,0,0,authorized
Allcargo,LIC-001010,13f9d805-3b8c-4fcc-bde6-3e6a44054f96,Jaipur,Rourkela,Jaipur -> Rourkela via NH29,Jaipur -> Rourkela via NH29,2018-08-09 00:27:56,2018-08-10 00:27:56,24.0,GEN-054f96,GEN-054f96,Rourkela_WH,Rourkela_WH,No Complaint,0,0,0,0,authorized
Allcargo,LIC-001010,17064fc6-e67e-4d0c-a3a8-86057bcc25d2,Jodhpur,Indore,Jodhpur -> Indore via NH12,Jodhpur -> Indore via NH12,2019-08-10 20:35:39,2019-08-11 20:35:39,24.0,GEN-cc25d2,GEN-cc25d2,Indore_WH,Indore_WH,No Complaint,0,0,0,0,authorized
Allcargo,LIC-001010,d636162f-15e0-407a-8cc1-df6ebb11dfce,Udaipur,Kanpur,Udaipur -> Kanpur via NH34,Udaipur -> Kanpur via NH34,2019-06-26 21:53:10,2019-06-27 21:53:10,24.0,GEN-11dfce,GEN-11dfce,Kanpur_WH,Kanpur_WH,No Complaint,0,0,0,0,authorized
Allcargo,LIC-001010,2c539abe-2704-4bbe-b87e-7d7ca05cd67a,Amritsar,Udaipur,Amritsar -> Udaipur via NH44,Amritsar -> Udaipur via NH44,2018-07-11 00:19:41,2018-07-12 00:19:41,24.0,GEN-5cd67a,GEN-5cd67a,Udaipur_WH,Udaipur_WH,No Complaint,0,0,0,0,authorized
